i_episode,score,time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
69,239.957882945,0.9600000000000005,2.36570306056,1.03520588664,0.0,0.00965832142164,1.66127722061,0.01,2.75751152636,0.0209684575004,-7.45819777732,-0.000744453243104,26.1891029616,0.0,-0.00219014622784,855.705470121,900.003455161,900.001170183
70,236.369665742,0.6000000000000002,0.877716558101,1.00699556328,0.0,0.0100167711144,0.868326738059,0.01,-0.610689760383,0.025777433614,-3.35283351595,2.28126047818e-05,16.7742314243,0.0,-0.000340947696772,709.321246057,900.002161187,900.001376659
71,236.64314144,0.8400000000000004,0.666701235533,1.02300047274,0.0,0.0100148506935,2.2171487888,0.01,-0.300859513379,0.0271472931788,-5.59198906123,0.000374626344836,10.5350695726,0.0,0.00251474431509,0.337062500313,899.997437803,900.000918065
72,234.247510243,0.5400000000000001,0.181555226427,1.0035186141,0.0,0.010006465578,0.224715889304,0.01,-1.13751923012,0.00713288937025,-4.63826380489,-3.61534413233e-05,5.96146230409,0.0,0.0325385237283,2.78132893313,899.999176396,899.99615392
73,235.281448224,0.4200000000000001,0.686788324307,0.997571663083,0.0,0.00997135612532,3.90535263755,0.01,-1.3538251482,-0.0110765057481,-5.26622413351,-0.000235949085648,5.66738101231,0.0,0.0392436792031,0.0229707121645,900.000121687,899.997822221
74,235.222048008,0.4200000000000001,0.805972919442,0.995584542067,0.0,0.0100659129276,1.44350872148,0.01,0.554626445372,-0.0174741813585,-5.92894393448,0.000527262427583,6.36663418476,0.0,-0.000183220862475,0.670705502884,899.997378799,900.001861078
75,238.454793422,0.6600000000000003,2.05927414831,1.00977942203,0.0,0.0100003317387,3.80019198876,0.01,2.29750678104,0.023473638269,-4.18581405954,-0.000108165592886,11.7855448732,0.0,0.000725766167285,36.2071666281,900.003016451,899.999313029
76,235.501454037,0.4200000000000001,0.692569087229,0.998478197179,0.0,0.00993372447309,3.23337766885,0.01,-1.63836611888,-0.00811852306121,-4.96325804321,-0.000432216468074,5.77836761224,0.0,0.0755962820095,104.660943733,900.000468549,899.995906212
77,234.826673725,0.7200000000000003,0.0254862293223,1.01504890074,0.0,0.00993350993625,5.17518696427,0.01,-1.69898220882,0.0178831777563,-5.33261621538,-0.000303420546364,5.62134374112,0.0,0.148294518452,2.07680363553,900.002670798,899.998913997
78,234.285012272,0.7200000000000003,0.0378319028066,1.01521090354,0.0,0.00998953894031,1.2648571078,0.01,-1.19916275212,0.0289368313757,-4.2199977843,0.000185737948575,6.5945642767,0.0,0.0231231487493,0.00161792374386,900.000647019,900.003364973
79,235.215369868,0.48000000000000015,0.611845695064,1.00066258536,0.0,0.00995011265305,1.76845566683,0.01,-0.690671788567,0.00907230501633,-3.83344453359,-0.000162997184152,5.90289450683,0.0,0.00132183789813,0.130804243798,900.000175039,899.999201902
80,236.476528296,0.6600000000000003,0.628748593049,1.01138954258,0.0,0.00999640515533,3.54410780381,0.01,-1.59159302128,0.0136435442243,-5.15400387438,0.000313788815687,6.37941788019,0.0,0.00102015946073,0.493881339019,900.000054781,900.003621572
81,239.150214578,1.0200000000000005,1.55519301409,1.04000975268,0.0,0.00911341994404,5.71123506254,0.01,1.03069557159,0.0358010766518,-6.60474067546,-0.00207058715747,28.7416794325,0.0,0.00122696563816,896.415176367,900.004161918,899.998396301
82,236.334686405,0.4200000000000001,0.873189516357,0.998650408889,0.0,0.00998456630591,3.34232083724,0.01,-1.33124009922,-0.0163234332568,-5.80745365995,-0.000129817218574,24.3011246842,0.0,0.00344905928201,835.530856072,900.000312422,899.998713366
83,238.184272318,0.6000000000000002,2.04499977823,1.0065777302,0.0,0.00988386512393,1.00047142211,0.01,3.46909231069,0.0189881284252,-4.05479840469,-0.000463217019912,28.8119235717,0.0,0.00141612134777,899.765853529,899.999638331,899.997177766
84,236.832727489,0.6000000000000002,1.02295613946,1.00662849777,0.0,0.0100237456561,1.32628733426,0.01,-0.213012257066,0.01825981896,-4.09096869134,-1.03070822787e-05,28.0839330709,0.0,0.00038506452346,866.194260025,899.999445176,899.998772241
85,236.346629459,0.4200000000000001,1.11942681586,0.996982067198,0.0,0.00997922446971,0.233554021944,0.01,1.18176442077,-0.0205144054323,-6.2321059554,-0.000199882309019,27.3883272115,0.0,-0.00149472687055,874.792898191,900.000523261,899.997748124
86,237.65558881,0.6000000000000002,1.85168548989,1.00552653901,0.0,0.0100252034318,5.25880827256,0.01,2.33739133055,0.00517742797482,-5.42585949217,0.000269348609918,28.7947835573,0.0,0.00257152540832,899.813850956,899.997198032,899.999581822
87,237.634549366,0.6600000000000003,1.43510152751,1.01082414508,0.0,0.009921124,3.56200622174,0.01,0.260335333352,0.0193924420564,-4.58159335169,-0.000171786485528,28.4848469239,0.0,0.000289553471657,881.66048233,900.003547335,900.002038778
88,236.063942204,0.48000000000000015,0.935670366087,1.00035841151,0.0,0.00992307502206,4.1275898633,0.01,-0.494379872205,-0.0119239800891,-5.9431046786,-0.000266743166203,28.6436157926,0.0,0.00266316288392,894.790117701,900.00323986,900.001381907
89,235.652763272,0.6000000000000002,0.663245331995,1.0047276508,0.0,0.010086978246,5.96212722709,0.01,0.0949257140038,0.00499752706943,-5.44434616531,0.000215181648989,28.5744906604,0.0,-0.000189484505805,889.552332843,899.997975396,900.000763895
90,236.723174429,0.6000000000000002,1.1018920808,1.006014213,0.0,0.0100662091956,1.09749838835,0.01,1.06601848078,0.0186576984715,-4.07604726364,0.000441298133598,28.7993893685,0.0,-0.000945931495033,899.090253442,899.997019315,900.000470037
91,236.645606156,0.6000000000000002,1.1336652413,1.00593135996,0.0,0.00992964959537,5.34213849781,0.01,1.36220635168,0.00584054620569,-5.35041959858,-0.000261072645112,28.6454317507,0.0,-0.00113441764859,898.53676412,899.997223717,899.997123006
92,237.076641032,0.6000000000000002,1.28815269701,1.0052498619,0.0,0.0102172730773,1.00531573811,0.01,1.41203248217,0.0165359119828,-4.30728790021,0.000862692129866,28.8220044679,0.0,0.00261879851747,899.927647829,899.999427408,900.000259682
93,234.221512228,0.6000000000000002,0.133173585427,1.00698887035,0.0,0.0100278342402,2.16709545318,0.01,-1.91464206501,0.0246734021533,-3.48189463629,0.000177461114015,28.598727382,0.0,-0.000572292029199,896.300633859,899.999530369,899.999386051
94,233.982546462,0.5400000000000001,0.225639007351,1.00334391456,0.0,0.00998217683505,3.14706064703,0.01,-0.935949825857,0.0125527526339,-4.10347862716,-5.40348220418e-05,27.851239973,0.0,2.97327092842e-05,892.84607889,899.999650671,899.999110087
95,233.172139485,0.7200000000000003,-0.314039637402,1.01371247252,0.0,0.00986126725502,3.18714843163,0.01,-3.04469271757,0.0330523789359,-3.8085575858,-0.000340086822703,18.1508872781,0.0,0.0104343905966,105.288457839,899.99677451,899.999146855
